,Name,Team,z_total,z_H,z_R,z_HR,z_TB,z_RBI,z_BB,z_SB,z_AVG,H,R,HR,TB,RBI,BB,SB,AVG,Type,Pos,z_K,z_QS,z_W,z_L,z_SV,z_HD,z_ERA,z_WHIP,K,QS,W,L,SV,HD,ERA,WHIP,espn_rank,espn_rank_roto,espn_auction
80,Nick Lodolo,CIN,0.109,,,,,,,,,,,,,,,,,PIT,PIT,0.457,0.525,0.07,-0.094,-0.547,-0.356,0.283,0.601,156.0,14.6,9.0,8.0,0.0,0.0,3.33,1.08,120,152.0,4.0
81,Ranger Suarez,PHI,0.105,,,,,,,,,,,,,,,,,PIT,PIT,0.351,0.364,0.859,-0.094,-0.547,-0.356,0.414,-0.23,151.0,13.5,12.0,8.0,0.0,0.0,3.2,1.22,129,170.0,3.0
82,Casey Mize,DET,0.096,,,,,,,,,,,,,,,,,PIT,PIT,0.097,0.525,1.386,0.486,-0.547,-0.356,-0.264,-0.527,139.0,14.6,14.0,6.0,0.0,0.0,3.87,1.27,305,262.0,0.0
83,Brady Singer,CIN,0.095,,,,,,,,,,,,,,,,,PIT,PIT,0.605,0.816,1.386,-1.255,-0.547,-0.356,-0.426,-0.349,163.0,16.6,14.0,12.0,0.0,0.0,4.03,1.24,214,499.0,0.0
84,Logan Gilbert,SEA,0.095,,,,,,,,,,,,,,,,,PIT,PIT,0.817,0.291,-0.719,0.486,-0.547,-0.356,0.171,0.898,173.0,13.0,6.0,6.0,0.0,0.0,3.44,1.03,15,40.0,38.0
85,Ryan Pepiot,TBR,0.079,,,,,,,,,,,,,,,,,PIT,PIT,0.69,0.743,0.596,-1.255,-0.547,-0.356,-0.254,0.126,167.0,16.1,11.0,12.0,0.0,0.0,3.86,1.16,70,157.0,13.0
86,Jose Altuve,HOU,0.076,0.697,-0.006,0.101,0.3,-0.188,-0.031,-0.323,0.248,156.0,80.0,26.0,260.0,77.0,55.0,10.0,0.265,BAT,BAT,,,,,,,,,,,,,,,,,55,106.0,17.0
87,Zack Littell,- - -,0.072,,,,,,,,,,,,,,,,,PIT,PIT,-0.094,0.816,0.333,-0.094,-0.547,-0.356,-0.204,0.482,130.0,16.6,10.0,8.0,0.0,0.0,3.81,1.1,317,471.0,0.0
88,Edwin Diaz,NYM,0.065,,,,,,,,,,,,,,,,,PIT,PIT,-0.772,-1.602,-0.719,1.356,1.894,-0.356,2.005,1.848,98.0,0.0,6.0,3.0,28.0,0.0,1.63,0.87,49,53.0,19.0
89,Cade Smith,CLE,0.064,,,,,,,,,,,,,,,,,PIT,PIT,-0.645,-1.602,-0.193,0.776,0.848,3.402,0.688,1.076,104.0,0.0,8.0,5.0,16.0,19.0,2.93,1.0,43,68.0,22.0
90,Ryne Nelson,ARI,0.06,,,,,,,,,,,,,,,,,PIT,PIT,-0.052,0.146,-0.456,1.356,-0.46,-0.356,0.222,0.661,132.0,12.0,7.0,3.0,1.0,0.0,3.39,1.07,296,276.0,0.0
91,Tanner Bibee,CLE,0.052,,,,,,,,,,,,,,,,,PIT,PIT,0.584,0.743,0.859,-0.964,-0.547,-0.356,-0.639,-0.289,162.0,16.1,12.0,11.0,0.0,0.0,4.24,1.23,98,184.0,7.0
92,Noah Cameron,KCR,0.05,,,,,,,,,,,,,,,,,PIT,PIT,-0.433,0.219,0.07,0.196,-0.547,-0.356,0.627,0.482,114.0,12.5,9.0,7.0,0.0,0.0,2.99,1.1,239,251.0,0.0
93,Shota Imanaga,CHC,0.047,,,,,,,,,,,,,,,,,PIT,PIT,-0.369,0.291,0.07,-0.094,-0.547,-0.356,-0.122,1.136,117.0,13.0,9.0,8.0,0.0,0.0,3.73,0.99,153,142.0,1.0
94,Clay Holmes,NYM,0.046,,,,,,,,,,,,,,,,,PIT,PIT,-0.115,0.743,0.859,-0.094,-0.547,-0.356,0.08,-0.705,129.0,16.1,12.0,8.0,0.0,0.0,3.53,1.3,233,514.0,0.0
95,Gunnar Henderson,BAL,0.042,0.786,0.279,-0.869,0.137,-0.719,0.279,1.45,0.634,158.0,85.0,17.0,253.0,68.0,62.0,30.0,0.274,BAT,BAT,,,,,,,,,,,,,,,,,18,16.0,36.0
96,Mookie Betts,LAD,0.041,0.521,0.848,-0.546,-0.189,0.108,0.235,-0.5,-0.052,152.0,95.0,20.0,239.0,82.0,61.0,8.0,0.258,BAT,BAT,,,,,,,,,,,,,,,,,36,48.0,26.0
97,Jackson Chourio,MIL,0.038,0.344,0.449,-0.438,0.16,-0.128,-1.141,0.652,0.463,148.0,88.0,21.0,254.0,78.0,30.0,21.0,0.27,BAT,BAT,,,,,,,,,,,,,,,,,35,17.0,26.0
98,Chris Bassitt,TOR,0.037,,,,,,,,,,,,,,,,,PIT,PIT,0.669,0.743,0.596,-0.384,-0.547,-0.356,-0.355,-0.883,166.0,16.1,11.0,9.0,0.0,0.0,3.96,1.33,244,302.0,0.0
99,Brayan Bello,BOS,0.03,,,,,,,,,,,,,,,,,PIT,PIT,-0.221,0.525,0.596,-0.384,-0.547,-0.356,0.262,-0.349,124.0,14.6,11.0,9.0,0.0,0.0,3.35,1.24,261,446.0,0.0
100,Josh Hader,HOU,0.025,,,,,,,,,,,,,,,,,PIT,PIT,-1.237,-1.602,-0.719,1.646,1.894,-0.356,1.579,1.967,76.0,0.0,6.0,2.0,28.0,0.0,2.05,0.85,155,141.0,1.0
101,Spencer Torkelson,DET,0.023,-0.23,0.108,0.639,0.23,-0.128,0.723,-1.032,-0.824,135.0,82.0,31.0,257.0,78.0,72.0,2.0,0.24,BAT,BAT,,,,,,,,,,,,,,,,,206,164.0,0.0
102,Lucas Giolito,BOS,0.022,,,,,,,,,,,,,,,,,PIT,PIT,-0.284,0.364,0.333,1.066,-0.547,-0.356,0.202,-0.646,121.0,13.5,10.0,4.0,0.0,0.0,3.41,1.29,409,470.0,0.0
103,Kyle Tucker,CHC,0.022,-0.318,0.62,-0.33,-0.353,-0.424,1.389,1.007,0.291,133.0,91.0,22.0,232.0,73.0,87.0,25.0,0.266,BAT,BAT,,,,,,,,,,,,,,,,,9,15.0,46.0
104,Ketel Marte,ARI,0.02,-0.186,0.392,0.316,0.02,-0.483,0.368,-0.855,1.02,136.0,87.0,28.0,248.0,72.0,64.0,4.0,0.283,BAT,BAT,,,,,,,,,,,,,,,,,11,36.0,43.0
105,Zac Gallen,ARI,0.017,,,,,,,,,,,,,,,,,PIT,PIT,0.859,0.903,1.122,-2.125,-0.547,-0.356,-1.237,-0.468,175.0,17.2,13.0,15.0,0.0,0.0,4.83,1.26,105,219.0,6.0
106,Edward Cabrera,MIA,0.014,,,,,,,,,,,,,,,,,PIT,PIT,0.33,0.364,-0.193,0.196,-0.547,-0.356,0.08,-0.289,150.0,13.5,8.0,7.0,0.0,0.0,3.53,1.23,210,254.0,0.0
107,Edwin Uceta,TBR,0.014,,,,,,,,,,,,,,,,,PIT,PIT,-0.666,-1.602,0.333,1.356,-0.46,3.798,-0.183,0.067,103.0,0.0,10.0,3.0,1.0,21.0,3.79,1.17,351,334.0,0.0
108,Dean Kremer,BAL,0.014,,,,,,,,,,,,,,,,,PIT,PIT,0.16,0.597,0.596,-0.674,-0.547,-0.356,-0.588,-0.171,142.0,15.1,11.0,10.0,0.0,0.0,4.19,1.21,309,599.0,0.0
109,Kris Bubic,KCR,0.011,,,,,,,,,,,,,,,,,PIT,PIT,-0.39,-0.087,-0.193,0.196,-0.547,-0.356,1.073,0.007,116.0,10.4,8.0,7.0,0.0,0.0,2.55,1.18,184,237.0,1.0
110,Colin Rea,CHC,0.01,,,,,,,,,,,,,,,,,PIT,PIT,-0.157,0.437,0.596,0.196,-0.46,-0.356,-0.345,-0.408,127.0,14.0,11.0,7.0,1.0,0.0,3.95,1.25,583,537.0,0.0
111,Jeffrey Springs,ATH,0.008,,,,,,,,,,,,,,,,,PIT,PIT,0.076,0.67,0.596,-0.964,-0.547,-0.356,-0.507,-0.171,138.0,15.6,11.0,11.0,0.0,0.0,4.11,1.21,274,311.0,0.0
112,Jo Adell,LAA,0.003,-0.716,-0.974,1.285,0.183,1.053,-1.008,-0.766,-0.996,124.0,63.0,37.0,255.0,98.0,33.0,5.0,0.236,BAT,BAT,,,,,,,,,,,,,,,,,191,165.0,0.0
113,Jack Leiter,TEX,-0.003,,,,,,,,,,,,,,,,,PIT,PIT,0.287,0.597,0.333,-0.674,-0.547,-0.356,-0.254,-0.586,148.0,15.1,10.0,10.0,0.0,0.0,3.86,1.28,241,400.0,0.0
114,Dylan Cease,SDP,-0.005,,,,,,,,,,,,,,,,,PIT,PIT,1.706,0.816,-0.193,-1.255,-0.547,-0.356,-0.953,-0.883,215.0,16.6,8.0,12.0,0.0,0.0,4.55,1.33,48,64.0,19.0
115,Dansby Swanson,CHC,-0.007,0.167,0.222,-0.115,-0.026,-0.188,-0.387,0.564,-0.653,144.0,84.0,24.0,246.0,77.0,47.0,20.0,0.244,BAT,BAT,,,,,,,,,,,,,,,,,180,107.0,1.0
116,Bryan Abreu,HOU,-0.009,,,,,,,,,,,,,,,,,PIT,PIT,-0.623,-1.602,-1.508,1.066,0.063,4.589,1.346,0.186,105.0,0.0,3.0,4.0,7.0,25.0,2.28,1.15,144,117.0,2.0
117,Jose Berrios,TOR,-0.01,,,,,,,,,,,,,,,,,PIT,PIT,0.076,0.67,0.07,0.776,-0.547,-0.356,-0.568,-0.705,138.0,15.6,9.0,5.0,0.0,0.0,4.17,1.3,470,256.0,0.0
118,Shane Smith,CHW,-0.013,,,,,,,,,,,,,,,,,PIT,PIT,0.224,0.597,-0.456,-0.094,-0.547,-0.356,-0.204,-0.111,145.0,15.1,7.0,8.0,0.0,0.0,3.81,1.2,238,265.0,0.0
119,George Kirby,SEA,-0.014,,,,,,,,,,,,,,,,,PIT,PIT,0.054,0.146,0.333,-0.094,-0.547,-0.356,-0.609,-0.052,137.0,12.0,10.0,8.0,0.0,0.0,4.21,1.19,38,60.0,24.0
120,Will Warren,NYY,-0.017,,,,,,,,,,,,,,,,,PIT,PIT,0.774,0.903,0.07,-0.094,-0.547,-0.356,-0.842,-1.121,171.0,17.2,9.0,8.0,0.0,0.0,4.44,1.37,338,371.0,0.0
121,Brandon Pfaadt,ARI,-0.018,,,,,,,,,,,,,,,,,PIT,PIT,0.266,0.903,1.122,-0.384,-0.547,-0.356,-1.662,-0.883,147.0,17.2,13.0,9.0,0.0,0.0,5.25,1.33,286,595.0,0.0
122,Dennis Santana,PIT,-0.021,,,,,,,,,,,,,,,,,PIT,PIT,-1.576,-1.602,-1.245,0.776,0.848,2.018,1.447,1.848,60.0,0.0,4.0,5.0,16.0,12.0,2.18,0.87,303,173.0,0.0
123,Ian Happ,CHC,-0.028,-0.098,0.392,-0.223,-0.189,-0.069,1.389,-0.677,-0.696,138.0,87.0,23.0,239.0,79.0,87.0,6.0,0.243,BAT,BAT,,,,,,,,,,,,,,,,,77,227.0,10.0
124,David Peterson,NYM,-0.031,,,,,,,,,,,,,,,,,PIT,PIT,0.33,0.67,0.07,0.486,-0.547,-0.356,-0.619,-1.121,150.0,15.6,9.0,6.0,0.0,0.0,4.22,1.37,257,305.0,0.0
125,Michael Wacha,KCR,-0.033,,,,,,,,,,,,,,,,,PIT,PIT,-0.179,0.743,0.333,-1.545,-0.547,-0.356,-0.254,-0.23,126.0,16.1,10.0,13.0,0.0,0.0,3.86,1.22,219,462.0,0.0
126,Mason Miller,- - -,-0.035,,,,,,,,,,,,,,,,,PIT,PIT,-0.645,-1.602,-2.034,1.646,1.371,1.622,0.992,1.611,104.0,0.0,1.0,2.0,22.0,10.0,2.63,0.91,37,51.0,25.0
127,CJ Abrams,WSN,-0.039,0.388,0.677,-0.653,0.09,-1.192,-0.83,1.539,-0.095,149.0,92.0,19.0,251.0,60.0,37.0,31.0,0.257,BAT,BAT,,,,,,,,,,,,,,,,,151,52.0,1.0
128,Brandon Lowe,TBR,-0.047,-0.451,-0.063,0.639,-0.12,0.167,-0.786,-0.943,-0.138,130.0,79.0,31.0,242.0,83.0,38.0,3.0,0.256,BAT,BAT,,,,,,,,,,,,,,,,,170,151.0,1.0
129,Shane Baz,TBR,-0.048,,,,,,,,,,,,,,,,,PIT,PIT,0.88,0.743,0.333,-1.255,-0.547,-0.356,-1.277,-0.883,176.0,16.1,10.0,12.0,0.0,0.0,4.87,1.33,175,208.0,1.0
130,Shea Langeliers,ATH,-0.048,-0.318,-0.405,0.639,0.253,-0.483,-0.875,-0.589,0.763,133.0,73.0,31.0,258.0,72.0,36.0,7.0,0.277,BAT,BAT,,,,,,,,,,,,,,,,,73,88.0,12.0
131,David Bednar,- - -,-0.053,,,,,,,,,,,,,,,,,PIT,PIT,-1.026,-1.602,-0.719,0.776,1.807,0.435,1.326,0.839,86.0,0.0,6.0,5.0,27.0,4.0,2.3,1.04,81,81.0,10.0
132,Salvador Perez,KCR,-0.054,0.035,-1.487,0.531,0.44,1.171,-1.23,-1.209,-0.996,141.0,54.0,30.0,266.0,100.0,28.0,0.0,0.236,BAT,BAT,,,,,,,,,,,,,,,,,100,98.0,7.0
133,Heliot Ramos,SFG,-0.055,0.83,0.279,-0.438,0.02,-0.66,-0.165,-0.677,-0.138,159.0,85.0,21.0,248.0,69.0,52.0,6.0,0.256,BAT,BAT,,,,,,,,,,,,,,,,,188,156.0,1.0
134,Jack Flaherty,DET,-0.065,,,,,,,,,,,,,,,,,PIT,PIT,1.134,0.743,-0.193,-2.125,-0.547,-0.356,-1.044,-0.586,188.0,16.1,8.0,15.0,0.0,0.0,4.64,1.28,164,245.0,1.0
135,Jose Soriano,LAA,-0.065,,,,,,,,,,,,,,,,,PIT,PIT,0.372,0.743,0.333,-0.964,-0.547,-0.356,-0.659,-1.299,152.0,16.1,10.0,11.0,0.0,0.0,4.26,1.4,187,366.0,1.0
136,Nick Martinez,CIN,-0.066,,,,,,,,,,,,,,,,,PIT,PIT,-0.39,0.364,0.596,-1.835,-0.547,0.633,-0.852,-0.171,116.0,13.5,11.0,14.0,0.0,5.0,4.45,1.21,369,559.0,0.0
137,Trent Grisham,NYY,-0.069,-1.069,0.392,0.962,-0.422,-0.365,1.167,-0.943,-1.039,116.0,87.0,34.0,229.0,74.0,82.0,3.0,0.235,BAT,BAT,,,,,,,,,,,,,,,,,249,226.0,0.0
138,Nico Hoerner,CHC,-0.07,1.669,0.506,-1.946,-0.259,-1.133,-0.742,1.362,1.621,178.0,89.0,7.0,236.0,61.0,39.0,29.0,0.297,BAT,BAT,,,,,,,,,,,,,,,,,40,79.0,24.0
139,Yusei Kikuchi,LAA,-0.072,,,,,,,,,,,,,,,,,PIT,PIT,0.838,0.903,-0.456,-0.964,-0.547,-0.356,-0.386,-1.418,174.0,17.2,7.0,11.0,0.0,0.0,3.99,1.42,182,291.0,1.0
140,Jhoan Duran,- - -,-0.075,,,,,,,,,,,,,,,,,PIT,PIT,-1.153,-1.602,-0.456,0.486,2.242,-0.158,1.569,0.482,80.0,0.0,7.0,6.0,32.0,1.0,2.06,1.1,60,56.0,15.0
141,Andres Munoz,SEA,-0.077,,,,,,,,,,,,,,,,,PIT,PIT,-1.089,-1.602,-1.508,1.356,2.765,-0.356,1.903,0.898,83.0,0.0,3.0,3.0,38.0,0.0,1.73,1.03,53,55.0,18.0
142,Bryce Harper,PHI,-0.078,-0.407,-0.462,0.208,-0.073,-0.306,0.634,-0.146,0.076,131.0,72.0,27.0,244.0,75.0,70.0,12.0,0.261,BAT,BAT,,,,,,,,,,,,,,,,,117,32.0,4.0
143,Seth Lugo,KCR,-0.081,,,,,,,,,,,,,,,,,PIT,PIT,-0.2,0.364,-0.193,0.196,-0.547,-0.356,-0.548,-0.646,125.0,13.5,8.0,7.0,0.0,0.0,4.15,1.29,222,317.0,0.0
144,Jazz Chisholm Jr.,NYY,-0.082,-1.246,-0.291,0.639,-0.585,-0.01,0.102,1.539,-0.738,112.0,75.0,31.0,222.0,80.0,58.0,31.0,0.242,BAT,BAT,,,,,,,,,,,,,,,,,62,26.0,14.0
145,William Contreras,MIL,-0.085,0.3,0.506,-0.869,-0.492,-0.247,1.256,-0.677,0.034,147.0,89.0,17.0,226.0,76.0,84.0,6.0,0.26,BAT,BAT,,,,,,,,,,,,,,,,,27,65.0,30.0
146,Sandy Alcantara,MIA,-0.086,,,,,,,,,,,,,,,,,PIT,PIT,0.16,0.743,0.596,-1.255,-0.547,-0.356,-1.773,-0.527,142.0,16.1,11.0,12.0,0.0,0.0,5.36,1.27,172,159.0,1.0
147,Christian Walker,HOU,-0.088,-0.053,-0.462,0.208,-0.026,0.462,-0.697,-1.032,-0.91,139.0,72.0,27.0,246.0,88.0,40.0,2.0,0.238,BAT,BAT,,,,,,,,,,,,,,,,,195,169.0,0.0
148,Kenley Jansen,LAA,-0.109,,,,,,,,,,,,,,,,,PIT,PIT,-1.64,-1.602,-0.982,1.066,1.981,-0.356,1.032,1.373,57.0,0.0,5.0,4.0,29.0,0.0,2.59,0.95,179,124.0,1.0
149,Robert Suarez,SDP,-0.122,,,,,,,,,,,,,,,,,PIT,PIT,-1.259,-1.602,-1.245,0.486,2.94,-0.356,0.647,1.67,75.0,0.0,4.0,6.0,40.0,0.0,2.97,0.9,266,119.0,0.0
150,Mitch Keller,PIT,-0.122,,,,,,,,,,,,,,,,,PIT,PIT,0.33,0.816,-0.719,-2.125,-0.547,-0.356,-0.588,-0.468,150.0,16.6,6.0,15.0,0.0,0.0,4.19,1.26,204,396.0,0.0
151,Emilio Pagan,CIN,-0.125,,,,,,,,,,,,,,,,,PIT,PIT,-1.132,-1.602,-1.771,1.066,2.242,0.04,0.738,1.551,81.0,0.0,2.0,4.0,32.0,2.0,2.88,0.92,114,115.0,5.0
152,Tomoyuki Sugano,BAL,-0.125,,,,,,,,,,,,,,,,,PIT,PIT,-0.602,0.67,0.333,-0.674,-0.547,-0.356,-1.044,-0.883,106.0,15.6,10.0,10.0,0.0,0.0,4.64,1.33,483,773.0,0.0
153,MacKenzie Gore,WSN,-0.13,,,,,,,,,,,,,,,,,PIT,PIT,1.071,0.67,-0.982,-2.125,-0.547,-0.356,-0.568,-1.002,185.0,15.6,5.0,15.0,0.0,0.0,4.17,1.35,135,196.0,2.0
154,Matthew Liberatore,STL,-0.13,,,,,,,,,,,,,,,,,PIT,PIT,-0.263,0.597,-0.193,-1.255,-0.547,-0.356,-0.609,-0.764,122.0,15.1,8.0,12.0,0.0,0.0,4.21,1.31,426,414.0,0.0
155,Luis Severino,ATH,-0.133,,,,,,,,,,,,,,,,,PIT,PIT,-0.221,0.597,-0.193,-0.964,-0.547,-0.356,-0.943,-0.705,124.0,15.1,8.0,11.0,0.0,0.0,4.54,1.3,340,601.0,0.0
156,Kyle Hendricks,LAA,-0.135,,,,,,,,,,,,,,,,,PIT,PIT,-0.433,0.743,-0.193,-0.674,-0.547,-0.356,-1.166,-0.586,114.0,16.1,8.0,10.0,0.0,0.0,4.76,1.28,999,,
157,Zach Neto,LAA,-0.137,-0.495,0.108,0.101,-0.213,-1.073,-1.008,1.096,-0.095,129.0,82.0,26.0,238.0,62.0,33.0,26.0,0.257,BAT,BAT,,,,,,,,,,,,,,,,,160,42.0,1.0
158,Trevor Megill,MIL,-0.137,,,,,,,,,,,,,,,,,PIT,PIT,-1.576,-1.602,-0.719,1.356,2.068,-0.356,1.133,0.304,60.0,0.0,6.0,3.0,30.0,0.0,2.49,1.13,186,116.0,1.0
159,Patrick Corbin,TEX,-0.151,,,,,,,,,,,,,,,,,PIT,PIT,-0.073,0.67,-0.456,-0.964,-0.547,-0.356,-0.801,-1.061,131.0,15.6,7.0,11.0,0.0,0.0,4.4,1.36,999,,
160,Logan Allen,CLE,-0.156,,,,,,,,,,,,,,,,,PIT,PIT,-0.263,0.597,-0.193,-0.964,-0.547,-0.356,-0.649,-1.299,122.0,15.1,8.0,11.0,0.0,0.0,4.25,1.4,523,667.0,0.0
