espn_rank,espn_rank_roto,espn_auction,Name,Pos,espn_player_id
1,1,101,Shohei Ohtani,DH,39832
2,2,79,Aaron Judge,OF,33192
3,5,77,Juan Soto,OF,36969
4,11,72,Paul Skenes,SP,4719507
5,3,68,Bobby Witt Jr.,SS,42403
6,10,67,Tarik Skubal,SP,42409
7,4,57,Jose Ramirez,3B,32801
8,12,48,Garrett Crochet,SP,4297835
9,15,46,Kyle Tucker,OF,34967
10,7,45,Ronald Acuna Jr.,OF,36185
11,36,43,Ketel Marte,2B,32512
12,23,40,Cristopher Sanchez,SP,42359
13,29,39,Cal Raleigh,C,41292
14,13,39,Fernando Tatis Jr.,OF,35983
15,40,38,Logan Gilbert,SP,41221
16,19,36,Junior Caminero,3B,4905921
17,6,36,Corbin Carroll,OF,42404
18,16,36,Gunnar Henderson,SS,42507
19,22,35,Yoshinobu Yamamoto,SP,4872587
20,41,35,Bryan Woo,SP,4629089
21,20,34,Kyle Schwarber,DH,33712
22,39,33,Logan Webb,SP,41216
23,28,33,Manny Machado,3B,31097
24,25,32,Hunter Brown,SP,4717803
25,9,32,Julio Rodriguez,OF,41044
26,24,31,Vladimir Guerrero Jr.,1B,35002
27,65,30,William Contreras,C,39895
28,46,30,Max Fried,SP,32685
29,37,29,Chris Sale,SP,30948
30,59,29,Joe Ryan,SP,42450
31,70,28,Alex Bregman,3B,34886
32,30,28,Yordan Alvarez,DH,36018
33,82,27,Jesus Luzardo,SP,39667
34,38,27,Jacob deGrom,SP,32796
35,17,26,Jackson Chourio,OF,4917869
36,48,26,Mookie Betts,SS,33039
37,51,25,Mason Miller,SP,4730225
38,60,24,George Kirby,SP,42406
39,44,24,Brent Rooker,DH,40926
40,79,24,Nico Hoerner,2B,41219
41,47,23,Freddy Peralta,SP,39825
42,14,22,Francisco Lindor,SS,32129
43,68,22,Cade Smith,SP,4987924
44,66,21,Cody Bellinger,OF,33912
45,45,21,Cole Ragans,SP,41054
46,61,21,Framber Valdez,SP,36581
47,158,20,Steven Kwan,OF,41996
48,64,19,Dylan Cease,SP,34943
49,53,19,Edwin Diaz,SP,35394
50,33,19,Roman Anthony,OF,5080767
51,101,18,Kevin Gausman,SP,32667
52,8,18,Elly De La Cruz,SS,4917694
53,55,18,Andres Munoz,SP,40939
54,57,17,Jarren Duran,OF,41610
55,106,17,Jose Altuve,2B,31662
56,90,16,Nick Pivetta,SP,36071
57,96,16,Ben Rice,1B,5016968
58,75,15,Maikel Garcia,3B,4905884
59,91,15,George Springer,DH,32078
60,56,15,Jhoan Duran,SP,41109
61,63,14,Geraldo Perdomo,SS,41355
62,26,14,Jazz Chisholm Jr.,2B,41433
63,132,14,Sonny Gray,SP,32082
64,49,13,Jackson Merrill,OF,4872691
65,31,13,Matt Olson,1B,32767
66,93,13,Zack Wheeler,SP,31267
67,67,13,Brice Turang,2B,41179
68,74,13,Christian Yelich,DH,31283
69,109,13,Devin Williams,SP,33224
70,157,13,Ryan Pepiot,SP,4208281
71,54,12,Pete Crow-Armstrong,OF,4717833
72,127,12,Nathan Eovaldi,SP,31174
73,88,12,Shea Langeliers,C,42598
74,193,11,Ozzie Albies,2B,33783
75,99,11,Eury Perez,SP,4917854
76,27,11,Pete Alonso,1B,37498
77,227,10,Ian Happ,OF,34945
78,146,10,Luis Castillo,SP,35124
79,21,10,Nick Kurtz,1B,4966637
80,18,10,Trea Turner,SS,33710
81,81,10,David Bednar,SP,38303
82,103,10,Kyle Bradish,SP,4311625
83,166,9,Taylor Ward,OF,34923
84,92,9,Will Smith,C,38309
85,50,9,Vinnie Pasquantino,1B,4109109
86,148,9,Blake Snell,SP,33748
87,84,9,Seiya Suzuki,DH,4142424
88,80,9,Aroldis Chapman,SP,30442
89,35,9,James Wood,OF,4918256
90,125,8,Brandon Woodruff,SP,37515
91,97,8,Drake Baldwin,C,4810190
92,58,8,Josh Naylor,1B,35066
93,204,8,Gleyber Torres,2B,33804
94,77,8,Randy Arozarena,OF,36488
95,232,8,Adley Rutschman,C,42178
96,100,7,Spencer Strider,SP,4307825
97,72,7,Austin Riley,3B,34982
98,184,7,Tanner Bibee,SP,4345278
99,69,7,Wyatt Langford,OF,4719324
100,98,7,Salvador Perez,C,31127
101,43,6,Freddie Freeman,1B,30193
102,85,6,Corey Seager,SS,32691
103,112,6,Raisel Iglesias,SP,33618
104,140,6,Brandon Nimmo,OF,32159
105,219,6,Zac Gallen,SP,39910
106,179,6,Yainer Diaz,C,4781491
107,121,6,Nolan McLean,SP,4433874
108,195,5,Alec Burleson,OF,4345070
109,108,5,Eugenio Suarez,3B,32367
110,135,5,Luke Keaschall,2B,4977664
111,34,5,Rafael Devers,DH,33859
112,118,5,Jacob Misiorowski,SP,5080761
113,78,5,Riley Greene,OF,42179
114,115,5,Emilio Pagan,SP,33403
115,71,5,Bo Bichette,SS,38904
116,126,4,Chase Burns,SP,4927516
117,32,4,Bryce Harper,1B,30951
118,104,4,Matt Chapman,3B,33857
119,83,4,Tyler Soderstrom,OF,4686066
120,152,4,Nick Lodolo,SP,42433
121,94,4,Agustin Ramirez,C,5132014
122,129,4,Michael King,SP,40429
123,89,4,Yandy Diaz,DH,33481
124,202,4,Brendan Donovan,2B,41773
125,213,3,Bryan Reynolds,OF,38980
126,128,3,Drew Rasmussen,SP,42584
127,231,3,Caleb Durbin,3B,5007615
128,174,3,Emmet Sheehan,SP,4417806
129,170,3,Ranger Suarez,SP,39817
130,111,3,Willy Adames,SS,33675
131,143,3,Tyler Glasnow,SP,33190
132,62,3,Byron Buxton,OF,32655
133,163,3,Marcus Semien,2B,32146
134,211,3,Andrew Abbott,SP,4414528
135,196,2,MacKenzie Gore,SP,39636
136,110,2,Michael Harris II,OF,42470
137,138,2,Andy Pages,OF,42468
138,73,2,Jeremy Pena,SS,41273
139,102,2,Oneil Cruz,OF,39712
140,86,2,Hunter Goodman,C,4416591
141,177,2,Alejandro Kirk,C,42081
142,186,2,Jakob Marsee,OF,4866735
143,222,2,Daylen Lile,OF,4917889
144,117,2,Bryan Abreu,SP,41208
145,147,2,Gavin Williams,SP,4345076
146,133,2,Jacob Wilson,SS,4719300
147,155,2,Cam Schlittler,SP,5134581
148,293,2,Jung Hoo Lee,OF,5134621
149,241,2,Griffin Jax,SP,42604
150,149,2,Matthew Boyd,SP,34401
151,52,1,CJ Abrams,SS,42402
152,172,1,Robbie Ray,SP,32175
153,142,1,Shota Imanaga,SP,5134630
154,105,1,Kyle Stowers,OF,42796
155,141,1,Josh Hader,SP,32760
156,198,1,Luis Arraez,1B,39572
157,181,1,Abner Uribe,SP,4917865
158,308,1,Gabriel Moreno,C,42464
159,167,1,Sal Frelick,OF,4417795
160,42,1,Zach Neto,SS,4666100
161,191,1,Bryson Stott,2B,42417
162,123,1,Jeff Hoffman,SP,33841
163,136,1,Teoscar Hernandez,OF,33377
164,245,1,Jack Flaherty,SP,33837
165,162,1,Xavier Edwards,2B,41326
166,247,1,Otto Lopez,SS,41917
167,130,1,Pete Fairbanks,SP,42180
168,225,1,Merrill Kelly,SP,32968
169,153,1,Trevor Rogers,SP,39640
170,151,1,Brandon Lowe,2B,39961
171,307,1,TJ Friedl,OF,36020
172,159,1,Sandy Alcantara,SP,35241
173,87,1,Michael Busch,1B,42415
174,122,1,Ryan Helsley,SP,39909
175,208,1,Shane Baz,SP,39639
176,234,1,Ernie Clement,3B,41287
177,220,1,Jac Caglianone,OF,4926296
178,178,1,Tatsuya Imai,SP,5330833
179,124,1,Kenley Jansen,SP,29630
180,107,1,Dansby Swanson,SS,34895
181,150,1,Aaron Nola,SP,33709
182,291,1,Yusei Kikuchi,SP,41415
183,182,1,Kazuma Okamoto,3B,5134636
184,237,1,Kris Bubic,SP,41201
185,235,1,Ryan O'Hearn,1B,35183
186,116,1,Trevor Megill,SP,40080
187,366,1,Jose Soriano,SP,40973
188,156,1,Heliot Ramos,OF,39642
189,205,1,Bubba Chandler,SP,4683325
190,255,1,J.T. Realmuto,C,32177
191,165,0,Jo Adell,OF,40854
192,192,0,Luis Garcia Jr.,2B,40459
193,404,0,Bailey Ober,SP,3107919
194,215,0,Isaac Paredes,3B,39706
195,169,0,Christian Walker,1B,32758
196,145,0,Ceddanne Rafaela,OF,4987382
197,368,0,J.P. Crawford,SS,33210
198,389,0,Jeff McNeil,2B,33900
199,250,0,Joe Musgrove,SP,34848
200,314,0,Wilyer Abreu,OF,4990055
201,303,0,Marcell Ozuna,DH,31668
202,272,0,Daulton Varsho,OF,40963
203,131,0,Daniel Palencia,SP,4875225
204,396,0,Mitch Keller,SP,33722
205,139,0,Lawrence Butler,OF,4917919
206,164,0,Spencer Torkelson,1B,4424286
207,270,0,Adolis Garcia,OF,35537
208,180,0,Gerrit Cole,SP,32081
209,229,0,Alec Bohm,3B,41169
210,254,0,Edward Cabrera,SP,40944
211,233,0,Samuel Basallo,C,4917646
212,207,0,Jorge Polanco,DH,32525
213,203,0,Xander Bogaerts,SS,31606
214,499,0,Brady Singer,SP,41172
215,223,0,Kerry Carpenter,OF,42714
216,160,0,Carlos Rodon,SP,33696
217,336,0,Nolan Arenado,3B,31261
218,228,0,Noelvi Marte,OF,41307
219,462,0,Michael Wacha,SP,32640
220,249,0,Matt McLain,2B,4422899
221,171,0,Cade Horton,SP,4692526
222,317,0,Seth Lugo,SP,34873
223,273,0,Austin Wells,C,4683349
224,137,0,Mike Trout,DH,30836
225,252,0,Jake Cronenworth,2B,36364
226,242,0,Kyle Teel,C,4743772
227,154,0,Chandler Simpson,OF,4679983
228,197,0,Trey Yesavage,SP,4949041
229,356,0,Miguel Vargas,3B,42453
230,406,0,Jonathan India,2B,41171
231,283,0,Shane McClanahan,SP,41199
232,491,0,Andrew Benintendi,OF,34986
233,514,0,Clay Holmes,SP,32827
234,168,0,Willson Contreras,1B,32532
235,114,0,Jackson Holliday,2B,5080633
236,327,0,Ryan Jeffers,C,41587
237,304,0,Ramon Laureano,OF,35142
238,265,0,Shane Smith,SP,5201814
239,251,0,Noah Cameron,SP,4417208
240,113,0,Carlos Estevez,SP,34861
241,400,0,Jack Leiter,SP,4622181
242,331,0,Cody Ponce,SP,34999
243,362,0,Lars Nootbaar,OF,4448736
244,302,0,Chris Bassitt,SP,33148
245,269,0,Carlos Correa,SS,32653
246,185,0,Dylan Crews,OF,4719511
247,439,0,Ian Seymour,SP,4669425
248,239,0,Carter Jensen,C,4917812
249,226,0,Trent Grisham,OF,34995
250,214,0,Ivan Herrera,DH,41889
251,236,0,Ryan Walker,SP,5000950
252,298,0,Kodai Senga,SP,4142421
253,324,0,Nolan Schanuel,1B,4739755
254,134,0,Luis Robert Jr.,OF,39631
255,614,0,Trevor Larnach,DH,41205
256,224,0,Spencer Steer,1B,4722857
257,305,0,David Peterson,SP,40921
258,290,0,Gavin Sheets,OF,40700
259,329,0,Robert Garcia,SP,5125167
260,206,0,Addison Barger,3B,4997589
261,446,0,Brayan Bello,SP,4720856
262,310,0,Francisco Alvarez,C,41253
263,76,0,Trevor Story,SS,32150
264,360,0,Jasson Dominguez,OF,42401
265,248,0,Shane Bieber,SP,40912
266,119,0,Robert Suarez,SP,4148749
267,353,0,Andrew Vaughn,1B,42394
268,267,0,Max Muncy,3B,33303
269,292,0,Harrison Bader,OF,35062
270,244,0,Dillon Dingler,C,4345620
271,421,0,Chad Patrick,SP,5131708
272,364,0,Andres Gimenez,2B,37729
273,288,0,Giancarlo Stanton,DH,30583
274,311,0,Jeffrey Springs,SP,35397
275,200,0,Jonathan Aranda,1B,40810
276,306,0,Cedric Mullins,OF,35578
277,401,0,Reid Detmers,SP,4326697
278,199,0,Masyn Winn,SS,4683365
279,395,0,Joey Cantillo,SP,42488
280,372,0,Tyler Stephenson,C,34975
281,476,0,Jameson Taillon,SP,31258
282,386,0,Chase Meidroth,SS,5136929
283,189,0,Sal Stewart,1B,5080771
284,319,0,Chase DeLauter,OF,4619649
285,275,0,Carson Kelly,C,32797
286,595,0,Brandon Pfaadt,SP,4721302
287,176,0,Jeremiah Estrada,SP,41014
288,496,0,Bo Naylor,C,41183
289,144,0,Brenton Doyle,OF,42462
290,271,0,Royce Lewis,3B,40635
291,365,0,Brooks Lee,SS,4629081
292,481,0,Grayson Rodriguez,SP,41196
293,217,0,Ezequiel Tovar,SS,4905919
294,506,0,Dominic Canzone,OF,4345621
295,515,0,Keibert Ruiz,C,38827
296,276,0,Ryne Nelson,SP,4916269
297,296,0,Evan Carter,OF,4917921
298,494,0,Sean Manaea,SP,33244
299,398,0,Mike Burrows,SP,4918155
300,355,0,Brandon Marsh,OF,40803
301,416,0,Jorge Soler,OF,32558
302,212,0,Bryce Miller,SP,4654313
303,173,0,Dennis Santana,SP,39801
304,612,0,Mike Yastrzemski,OF,33341
305,262,0,Casey Mize,SP,41167
306,359,0,Logan O'Hoppe,C,42047
307,221,0,Willi Castro,OF,34230
308,183,0,Munetaka Murakami,3B,4872595
309,599,0,Dean Kremer,SP,38295
310,436,0,JoJo Romero,SP,40456
311,415,0,Austin Hays,OF,36928
312,338,0,Matt Strahm,SP,34862
313,607,0,Wenceel Perez,OF,41586
314,387,0,Tommy Edman,2B,39907
315,349,0,Andrew Painter,SP,4872683
316,280,0,Will Vest,SP,41606
317,471,0,Zack Littell,SP,36052
318,357,0,Mickey Moniak,OF,36181
319,188,0,Roki Sasaki,SP,5134638
320,190,0,Jordan Westburg,3B,4298641
321,448,0,Freddy Fermin,C,41928
322,399,0,Zebby Matthews,SP,4791597
323,216,0,Kyle Manzardo,DH,4917927
324,410,0,Braxton Garrett,SP,40971
325,444,0,Colt Keith,DH,4683384
326,315,0,Gavin Lux,DH,40423
327,563,0,Justin Steele,SP,41022
328,243,0,Seranthony Dominguez,SP,37793
329,384,0,Edgar Quero,C,4917824
330,321,0,Josh Lowe,OF,40557
331,419,0,Logan Henderson,SP,4917878
332,378,0,Jesus Sanchez,OF,39957
333,345,0,Matt Wallner,OF,42427
334,340,0,Braxton Ashcraft,SP,41282
335,337,0,Carlos Narvaez,C,5012120
336,161,0,Colson Montgomery,SS,4872685
337,451,0,Kevin Ginkel,SP,41432
338,371,0,Will Warren,SP,5132011
339,407,0,Parker Meadows,OF,41223
340,601,0,Luis Severino,SP,33263
341,346,0,Josh Bell,DH,32517
342,413,0,Garrett Whitlock,SP,39674
343,483,0,Patrick Bailey,C,4345843
344,493,0,Zach Eflin,SP,32804
345,312,0,Colton Cowser,OF,4416990
346,257,0,Alex Vesia,SP,42622
347,352,0,Jake Burger,1B,39882
348,442,0,Cristian Javier,SP,41261
349,268,0,Hunter Gaddis,SP,4187661
350,558,0,Garrett Cleavinger,SP,36429
351,334,0,Edwin Uceta,SP,41308
352,333,0,Carson Benge,OF,4925604
353,660,0,Phil Maton,SP,36161
354,382,0,Dylan Beavers,OF,4959037
355,258,0,Parker Messick,SP,4619898
356,504,0,Miguel Andujar,3B,33743
357,375,0,Reynaldo Lopez,SP,33860
358,427,0,Danny Jansen,C,35004
359,344,0,Andrew Kittredge,SP,35872
360,460,0,Simeon Woods Richardson,SP,41383
361,210,0,JJ Wetherholt,SS,4941056
362,665,0,Alek Thomas,OF,41215
363,274,0,Hunter Greene,SP,39635
364,479,0,Dustin May,SP,40937
365,313,0,Cam Smith,OF,5080766
366,278,0,Luke Weaver,SP,33770
367,565,0,Johan Oviedo,SP,41405
368,330,0,Josh Smith,SS,42884
369,559,0,Nick Martinez,SP,33372
370,277,0,Tony Santillan,SP,40950
371,318,0,Victor Scott II,OF,4807220
372,279,0,Riley O'Brien,SP,41509
373,297,0,Quinn Priester,SP,42449
374,187,0,Tyler Rogers,SP,34026
375,282,0,Lucas Erceg,SP,36618
376,253,0,Brett Baty,3B,42414
377,370,0,Sean Murphy,C,33557
378,300,0,Ryan Weathers,SP,41178
379,423,0,Coby Mayo,1B,4683371
380,341,0,Clayton Beeter,SP,4313143
381,230,0,Zach McKinstry,3B,38420
382,420,0,Matt Brash,SP,4894467
383,473,0,Grant Holmes,SP,33840
384,733,0,Kyle Isbel,OF,41263
385,425,0,Grant Taylor,SP,4927630
386,369,0,Jake Meyers,OF,40719
387,120,0,Jason Adam,SP,32145
388,591,0,Jared Jones,SP,4918156
389,350,0,Victor Caratini,C,33229
390,294,0,Jordan Beck,OF,4619460
391,627,0,Slade Cecconi,SP,41462
392,716,0,Kyle Leahy,SP,5006093
393,194,0,Jose Caballero,OF,42135
394,547,0,Joe Boyle,SP,4298087
395,374,0,Kirby Yates,SP,32623
396,440,0,Pedro Pages,C,42608
397,367,0,Justin Crawford,OF,5080642
398,358,0,Luis Rengifo,3B,37237
399,391,0,Tyler Mahle,SP,34973
400,287,0,Camilo Doval,SP,41337
401,684,0,Tyler Holton,SP,3983833
402,484,0,Joey Ortiz,SS,42958
403,720,0,Steven Matz,SP,33106
404,263,0,Spencer Schwellenbach,SP,4424862
405,463,0,Owen Caissie,OF,4917685
406,335,0,Connor Norby,3B,4417606
407,354,0,Kyle Higashioka,C,30545
408,376,0,Tanner Scott,SP,35135
409,470,0,Lucas Giolito,SP,32697
410,397,0,Jordan Walker,OF,4684778
411,468,0,Luis Gil,SP,40626
412,457,0,Ke'Bryan Hayes,3B,35020
413,373,0,Jose Ferrer,SP,5119607
414,530,0,Joey Bart,C,41168
415,390,0,Isaac Collins,OF,42959
416,674,0,Michael McGreevy,SP,4424141
417,659,0,Dylan Lee,SP,41455
418,402,0,Tyler Freeman,OF,40958
419,379,0,Cade Cavalli,SP,4308037
420,266,0,Mark Vientos,3B,41034
421,322,0,Spencer Horwitz,1B,4228472
422,653,0,Jared Koenig,SP,4995802
423,478,0,Justin Verlander,SP,6341
424,175,0,Adrian Morejon,SP,40917
425,435,0,Jacob Lopez,SP,42239
426,414,0,Matthew Liberatore,SP,41173
427,643,0,Cole Sands,SP,3983841
428,408,0,Foster Griffin,SP,33773
429,638,0,Eduardo Rodriguez,SP,32675
430,564,0,Nathan Lukes,OF,35682
431,405,0,Josh Jung,3B,42437
432,535,0,Michael Soroka,SP,34984
433,289,0,Bryan King,SP,5201821
434,597,0,Sean Burke,SP,4867679
435,810,0,Fernando Cruz,SP,34068
436,381,0,Shawn Armstrong,SP,33499
437,437,0,Liam Hicks,C,4725251
438,676,0,Justin Topa,SP,38796
439,417,0,Lourdes Gurriel Jr.,OF,36040
440,431,0,Taj Bradley,SP,42480
441,482,0,Jordan Leasure,SP,5132121
442,640,0,Adrian Houser,SP,32157
443,806,0,Davis Martin,SP,42823
444,545,0,Landen Roupp,SP,4345404
445,238,0,Brad Keller,SP,35292
446,409,0,Nolan Gorman,3B,41174
447,393,0,Ryan McMahon,3B,33247
448,582,0,Rhett Lowder,SP,4758873
449,281,0,Robert Stephenson,SP,32134
450,791,0,Anthony Kay,SP,40947
451,497,0,Tyler O'Neill,OF,34168
452,605,0,JP Sears,SP,39818
453,517,0,Gabe Speier,SP,40327
454,209,0,Kevin McGonigle,SS,5149072
455,823,0,Michael Lorenzen,SP,33252
456,412,0,Max Meyer,SP,4345164
457,418,0,Orion Kerkering,SP,4630789
458,648,0,Chris Paddack,SP,35999
459,507,0,Lane Thomas,OF,36409
460,295,0,Ryan Waldschmidt,OF,5129344
461,467,0,Miguel Amaya,C,38905
462,458,0,Richard Fitts,SP,4414243
463,613,0,Christopher Morel,OF,42927
464,796,0,Hunter Barco,SP,4621029
465,915,0,Keegan Akin,SP,36724
466,474,0,Victor Robles,OF,35042
467,351,0,Brayan Rocchio,SS,41217
468,529,0,Mauricio Dubon,OF,35304
469,752,0,Bryan Baker,SP,40884
470,256,0,Jose Berrios,SP,32811
471,721,0,Jake Fraley,OF,37974
472,342,0,Justin Sterner,SP,4307467
473,825,0,Miles Mikolas,SP,32116
474,664,0,Hogan Harris,SP,41364
475,623,0,Cole Young,2B,5080641
476,501,0,Marcelo Mayer,3B,4872648
477,489,0,Nick Castellanos,OF,31187
478,1018,0,John Schreiber,SP,39949
479,260,0,Moises Ballesteros,DH,4987418
480,706,0,Jack Dreyer,SP,5136082
481,639,0,Kumar Rocker,SP,4414525
482,285,0,Kyle Finnegan,SP,36543
483,773,0,Tomoyuki Sugano,SP,4142423
484,459,0,Jake Mangum,OF,42664
485,511,0,Taylor Rogers,SP,33671
486,456,0,Luis Morales,SP,5150939
487,445,0,Christian Moore,2B,4927523
488,617,0,Nick Fortes,C,41674
489,680,0,Calvin Faucher,SP,3978173
490,849,0,Graham Ashcraft,SP,4084179
491,963,0,Marcus Stroman,SP,32815
492,596,0,Max Scherzer,SP,28976
493,339,0,Matt Svanson,SP,4649953
494,464,0,George Valera,DH,41030
495,544,0,Brad Lord,SP,4866810
496,742,0,Randy Vasquez,SP,4722847
497,745,0,Gregory Soto,SP,39804
498,835,0,Yimi Garcia,SP,32888
499,422,0,Luisangel Acuna,2B,42411
500,556,0,Bryce Elder,SP,4301067
501,1187,0,Caleb Thielbar,SP,32440
502,201,0,Anthony Volpe,SS,42547
503,524,0,Henry Davis,C,4418683
504,1262,0,Eduard Bazardo,SP,41939
505,472,0,Jake McCarthy,OF,41197
506,724,0,Aaron Civale,SP,40934
507,343,0,Paul Sewald,SP,35009
508,246,0,Jordan Lawlar,3B,4872649
509,240,0,Louis Varland,SP,4917888
510,744,0,Cole Henry,SP,4414361
511,762,0,Charlie Morton,SP,29155
512,655,0,Brendon Little,SP,39645
513,526,0,Jacob Latz,SP,3210625
514,683,0,Heriberto Hernandez,OF,42455
515,1072,0,Greg Weissert,SP,41485
516,95,0,Konnor Griffin,SS,5218285
517,652,0,Anthony Bender,SP,42171
518,878,0,Jake Irvin,SP,41290
519,587,0,Jose Trevino,C,35268
520,590,0,Chris Martin,SP,32903
521,361,0,Victor Vodnik,SP,4722599
522,630,0,Ben Joyce,SP,4867388
523,667,0,Logan Allen,SP,4683350
524,450,0,Nick Gonzales,2B,4311634
525,692,0,Drew Pomeranz,SP,31010
526,388,0,Harry Ford,C,4872682
527,889,0,Scott Barlow,SP,32156
528,309,0,Javier Baez,SS,32127
529,843,0,Ryan Thompson,SP,38628
530,606,0,Kyle Harrison,SP,4683375
531,1088,0,Pierce Johnson,SP,32777
532,488,0,Hunter Feduccia,C,41801
533,1244,0,Tyrone Taylor,OF,32783
534,1229,0,Steven Okert,SP,33716
535,525,0,Joc Pederson,DH,31392
536,284,0,Lenyn Sosa,2B,41684
537,712,0,Kutter Crawford,SP,41277
538,513,0,Seth Halvorsen,SP,5204400
539,1391,0,Brooks Raley,SP,32005
540,403,0,Dalton Rushing,C,4619839
541,490,0,Ha-Seong Kim,SS,4089862
542,567,0,Brooks Baldwin,OF,4424742
543,964,0,Tyler Kinley,SP,34166
544,769,0,Cody Bradford,SP,4142539
545,453,0,Troy Melton,SP,5294127
546,477,0,Jared Triolo,SS,42933
547,658,0,Max Muncy,3B,4872686
548,827,0,Yennier Cano,SP,35536
549,637,0,Lance McCullers Jr.,SP,32764
550,541,0,Angel Martinez,OF,42497
551,616,0,Gary Sanchez,C,31095
552,1589,0,Ryan Zeferjahn,SP,4722057
553,728,0,Justin Slaten,SP,4917925
554,1028,0,Hoby Milner,SP,36088
555,522,0,Brady House,3B,4872681
556,592,0,Spencer Arrighetti,SP,4726080
557,757,0,Aaron Ashby,SP,41325
558,1682,0,Isaac Mattson,SP,42063
559,602,0,Garrett Mitchell,OF,4313442
560,775,0,Vaughn Grissom,2B,42503
561,645,0,Bennett Sousa,SP,41776
562,492,0,Carlos Santana,1B,30280
563,466,0,Javier Sanoja,OF,5073992
564,876,0,Jimmy Herget,SP,36093
565,264,0,Connelly Early,SP,4863321
566,259,0,Bryce Eldridge,DH,5149064
567,495,0,CJ Kayfus,OF,4719337
568,1041,0,Tanner Banks,SP,40437
569,615,0,Luis Torrens,C,33805
570,3449,0,Juan Mejia,SP,5185107
571,837,0,Jose Quintana,SP,32106
572,784,0,Austin Martin,OF,4297998
573,760,0,Huascar Brazoban,SP,4916509
574,771,0,Jacob Young,OF,4414210
575,704,0,Hunter Harvey,SP,33191
576,774,0,Andre Pallante,SP,4109034
577,600,0,Luke Raley,OF,40422
578,452,0,Kristian Campbell,2B,5201569
579,1549,0,Erik Sabrowski,SP,5194333
580,594,0,Daniel Schneemann,2B,42001
581,783,0,Tommy Kahnle,SP,31867
582,1336,0,Matt Festa,SP,39871
583,537,0,Colin Rea,SP,33950
584,1092,0,Nick Mears,SP,42620
585,933,0,Endy Rodriguez,1B,4712767
586,941,0,Jose Butto,SP,4905900
587,690,0,Jordan Romano,SP,36380
588,886,0,Hunter Dobbins,SP,4415836
589,727,0,Jose Alvarado,SP,36063
590,686,0,Jake Bauers,1B,35013
591,299,0,Matt Shaw,3B,4867667
592,347,0,Paul Goldschmidt,1B,31027
593,634,0,Chase Dollander,SP,4719068
594,862,0,Mason Montgomery,SP,4424112
595,527,0,Gabriel Arias,SS,40344
596,1123,0,Anthony Banda,SP,34542
597,380,0,Robby Snelling,SP,5080753
598,598,0,Connor Wong,C,40086
599,1854,0,Michael Kelly,SP,36156
600,480,0,Joe Mack,C,4872695
