Name,Team,espn_id,WHIP,ERA,K,SV,W,L,HD,QS
Graham Ashcraft,CIN,4084179,1.3,3.49,62.0,3.0,4.0,3.0,4.0,0.0
Marcus Stroman,FA,32815,1.43,4.27,86.0,3.0,7.0,6.0,0.0,11.0
Max Scherzer,TOR,28976,1.26,4.28,96.0,2.0,6.0,5.0,0.0,10.0
Matt Svanson,STL,4649953,1.28,3.46,60.0,1.0,4.0,3.0,0.0,0.0
Brad Lord,WSH,4866810,1.29,3.99,65.0,0.0,5.0,4.0,0.0,9.0
Randy Vasquez,SD,4722847,1.45,4.61,78.0,4.0,7.0,7.0,0.0,11.0
Gregory Soto,PIT,39804,1.31,3.92,69.0,9.0,2.0,5.0,0.0,0.0
Yimi Garcia,TOR,32888,1.19,3.75,44.0,1.0,2.0,2.0,11.0,0.0
Bryce Elder,ATL,4301067,1.37,4.47,115.0,4.0,8.0,7.0,0.0,12.0
Caleb Thielbar,CHC,32440,1.18,3.79,58.0,1.0,3.0,3.0,2.0,0.0
Eduard Bazardo,SEA,41939,1.16,3.6,75.0,3.0,4.0,4.0,0.0,0.0
Aaron Civale,OAK,40934,1.3,4.21,78.0,1.0,5.0,5.0,0.0,9.0
Paul Sewald,ARI,35009,1.23,4.21,48.0,1.0,2.0,3.0,11.0,0.0
Louis Varland,TOR,4917888,1.29,4.3,71.0,0.0,3.0,5.0,0.0,0.0
Cole Henry,WSH,4414361,1.52,4.66,53.0,2.0,2.0,4.0,8.0,0.0
Charlie Morton,FA,29155,1.48,4.78,132.0,2.0,6.0,8.0,0.0,12.0
Brendon Little,TOR,39645,1.37,3.74,79.0,6.0,3.0,4.0,0.0,0.0
Jacob Latz,TEX,3210625,1.4,4.08,51.0,2.0,3.0,3.0,0.0,1.0
Greg Weissert,BOS,41485,1.26,3.55,57.0,1.0,4.0,3.0,2.0,0.0
Anthony Bender,MIA,42171,1.24,3.35,44.0,1.0,3.0,3.0,2.0,0.0
Jake Irvin,WSH,41290,1.37,4.79,101.0,3.0,6.0,9.0,0.0,4.0
Chris Martin,TEX,32903,1.09,3.4,44.0,2.0,2.0,3.0,7.0,0.0
Victor Vodnik,COL,4722599,1.45,4.05,54.0,4.0,2.0,5.0,11.0,0.0
Ben Joyce,LAA,4867388,1.31,3.75,52.0,6.0,2.0,3.0,11.0,0.0
Logan Allen,CLE,4683350,1.44,4.53,119.0,3.0,7.0,10.0,0.0,14.0
Drew Pomeranz,LAA,31010,1.17,3.56,54.0,1.0,2.0,3.0,2.0,0.0
Scott Barlow,OAK,32156,1.4,4.15,73.0,2.0,2.0,5.0,0.0,0.0
Ryan Thompson,ARI,38628,1.24,3.6,44.0,1.0,3.0,3.0,4.0,0.0
Kyle Harrison,MIL,4683375,1.48,4.84,83.0,2.0,4.0,5.0,0.0,7.0
Pierce Johnson,CIN,32777,1.25,4.13,68.0,2.0,3.0,4.0,0.0,0.0
Steven Okert,HOU,33716,1.16,3.9,79.0,1.0,3.0,4.0,0.0,0.0
Kutter Crawford,BOS,41277,1.23,4.18,73.0,2.0,4.0,4.0,0.0,1.0
Seth Halvorsen,COL,5204400,1.52,4.83,52.0,2.0,1.0,5.0,8.0,0.0
Brooks Raley,NYM,32005,1.06,2.81,49.0,0.0,3.0,2.0,2.0,0.0
Tyler Kinley,ATL,34166,1.29,3.99,80.0,6.0,3.0,5.0,0.0,0.0
Cody Bradford,TEX,4142539,1.12,3.78,63.0,1.0,4.0,4.0,0.0,1.0
Troy Melton,DET,5294127,1.33,4.33,80.0,3.0,5.0,4.0,0.0,8.0
Yennier Cano,BAL,35536,1.26,3.77,59.0,1.0,3.0,4.0,2.0,0.0
Lance McCullers Jr.,HOU,32764,1.61,4.85,106.0,6.0,5.0,6.0,0.0,9.0
Ryan Zeferjahn,LAA,4722057,1.42,4.65,71.0,2.0,2.0,5.0,2.0,0.0
Justin Slaten,BOS,4917925,1.16,3.35,46.0,3.0,3.0,3.0,2.0,0.0
Hoby Milner,CHC,36088,1.19,3.63,57.0,0.0,4.0,3.0,0.0,0.0
Spencer Arrighetti,HOU,4726080,1.43,4.68,102.0,3.0,5.0,6.0,0.0,9.0
Aaron Ashby,MIL,41325,1.44,4.14,65.0,3.0,3.0,4.0,0.0,0.0
Isaac Mattson,PIT,42063,1.3,3.78,51.0,0.0,2.0,4.0,0.0,0.0
Bennett Sousa,HOU,41776,1.07,3.5,59.0,4.0,3.0,3.0,0.0,0.0
Jimmy Herget,COL,36093,1.32,3.97,71.0,2.0,3.0,6.0,0.0,0.0
Connelly Early,BOS,4863321,1.29,3.58,83.0,3.0,5.0,3.0,0.0,9.0
Tanner Banks,PHI,40437,1.19,3.91,60.0,1.0,3.0,5.0,0.0,0.0
Juan Mejia,COL,5185107,1.42,4.21,67.0,1.0,2.0,5.0,0.0,0.0
Jose Quintana,COL,32106,1.47,4.4,83.0,3.0,6.0,9.0,0.0,12.0
Huascar Brazoban,NYM,4916509,1.29,3.88,64.0,4.0,3.0,4.0,2.0,0.0
Hunter Harvey,CHC,33191,1.14,3.77,50.0,1.0,2.0,3.0,2.0,0.0
Andre Pallante,STL,4109034,1.43,4.35,62.0,7.0,5.0,5.0,0.0,1.0
Erik Sabrowski,CLE,5194333,1.4,3.86,58.0,0.0,2.0,3.0,0.0,0.0
Tommy Kahnle,BOS,31867,1.36,4.19,54.0,3.0,2.0,4.0,6.0,0.0
Matt Festa,CLE,39871,1.2,3.44,58.0,1.0,3.0,3.0,0.0,0.0
Colin Rea,CHC,33950,1.34,4.4,67.0,1.0,5.0,5.0,0.0,1.0
Nick Mears,KC,42620,1.19,3.88,57.0,2.0,3.0,3.0,0.0,0.0
Jose Butto,SF,4905900,1.3,3.68,57.0,2.0,3.0,4.0,0.0,0.0
Jordan Romano,LAA,36380,1.3,4.7,57.0,0.0,2.0,3.0,7.0,0.0
Hunter Dobbins,STL,4415836,1.33,4.0,53.0,0.0,4.0,4.0,0.0,4.0
Jose Alvarado,PHI,36063,1.24,3.86,50.0,3.0,3.0,2.0,0.0,0.0
Chase Dollander,COL,4719068,1.61,5.15,105.0,2.0,4.0,10.0,0.0,11.0
Mason Montgomery,PIT,4424112,1.42,4.58,67.0,0.0,2.0,4.0,0.0,0.0
Anthony Banda,MIN,34542,1.36,4.22,62.0,4.0,2.0,5.0,4.0,0.0
Robby Snelling,MIA,5080753,1.3,4.02,51.0,1.0,3.0,3.0,0.0,7.0
Michael Kelly,OAK,36156,1.37,4.19,30.0,2.0,2.0,3.0,9.0,0.0
Janson Junk,MIA,4881980,1.29,3.97,76.0,3.0,7.0,5.0,0.0,11.0
Jakob Junis,TEX,36056,1.14,3.38,58.0,1.0,3.0,4.0,0.0,0.0
Brant Hurter,DET,5197093,1.3,3.9,63.0,1.0,4.0,3.0,0.0,0.0
Payton Tolle,BOS,4966140,1.22,4.19,95.0,5.0,6.0,4.0,0.0,1.0
Brock Burke,CIN,39945,1.3,4.14,57.0,1.0,3.0,4.0,0.0,0.0
Jon Gray,FA,33203,1.31,4.28,56.0,1.0,3.0,4.0,0.0,6.0
Blake Treinen,LAD,32185,1.26,3.86,51.0,1.0,2.0,3.0,2.0,0.0
Wandy Peralta,SD,36036,1.34,3.76,58.0,1.0,4.0,3.0,0.0,0.0
A.J. Minter,NYM,36133,1.13,3.55,47.0,0.0,2.0,2.0,0.0,0.0
Carmen Mlodzinski,PIT,4298378,1.29,3.65,60.0,2.0,4.0,4.0,0.0,0.0
Spencer Bivens,SF,5136077,1.28,3.79,55.0,2.0,3.0,5.0,2.0,0.0
Tyler Wells,BAL,4717904,1.17,4.17,51.0,1.0,3.0,3.0,0.0,1.0
Carlos Vargas,SEA,42504,1.32,4.08,50.0,3.0,3.0,5.0,0.0,0.0
Caden Dana,LAA,5197473,1.55,5.08,104.0,6.0,5.0,8.0,0.0,10.0
Tyler Anderson,LAA,32151,1.44,4.69,114.0,4.0,7.0,9.0,0.0,12.0
Erik Miller,SF,4152950,1.3,3.63,62.0,1.0,3.0,3.0,0.0,0.0
Ryan Yarbrough,NYY,33735,1.19,4.04,57.0,1.0,5.0,3.0,0.0,0.0
Eric Lauer,TOR,39915,1.28,4.29,80.0,0.0,5.0,5.0,0.0,0.0
Ryne Stanek,STL,33301,1.39,4.33,56.0,4.0,2.0,4.0,2.0,0.0
Andrew Nardi,MIA,3975840,1.14,3.86,59.0,1.0,2.0,3.0,2.0,0.0
Taijuan Walker,PHI,31864,1.44,4.85,80.0,1.0,6.0,7.0,0.0,10.0
Caleb Ferguson,CIN,41017,1.27,3.6,57.0,2.0,3.0,4.0,2.0,0.0
Tyler Ferguson,OAK,41612,1.31,3.76,54.0,1.0,2.0,4.0,0.0,0.0
Cole Winn,TEX,41177,1.29,3.63,42.0,2.0,3.0,3.0,0.0,0.0
Sean Newcomb,CWS,33856,1.4,4.37,60.0,2.0,3.0,5.0,0.0,1.0
Brent Suter,LAA,36023,1.24,3.82,53.0,2.0,4.0,3.0,0.0,0.0
Elvis Alvarado,OAK,42211,1.5,4.5,59.0,3.0,3.0,3.0,0.0,0.0
Kyle Freeland,COL,33839,1.43,4.81,118.0,2.0,6.0,12.0,0.0,14.0
Aaron Bummer,ATL,36131,1.25,3.6,59.0,2.0,4.0,2.0,0.0,0.0
Jose Urquidy,PIT,35759,1.32,4.5,47.0,1.0,2.0,4.0,0.0,1.0
Tyler Alexander,TEX,40360,1.28,4.43,61.0,0.0,4.0,4.0,0.0,1.0
Lake Bachar,MIA,42592,1.37,4.29,65.0,4.0,4.0,3.0,0.0,0.0
Jalen Beeks,TEX,36723,1.28,3.9,55.0,3.0,4.0,3.0,2.0,0.0
Tim Hill,NYY,37005,1.28,3.94,35.0,0.0,3.0,4.0,0.0,0.0
Ben Brown,CHC,41516,1.29,4.5,91.0,4.0,5.0,5.0,0.0,0.0
Mike Vasil,CWS,4414551,1.52,4.82,61.0,2.0,3.0,6.0,1.0,0.0
Jacob Webb,CHC,40384,1.3,4.0,63.0,2.0,3.0,4.0,0.0,0.0
Ryan Feltner,COL,4019484,1.65,5.26,86.0,5.0,3.0,9.0,0.0,8.0
Kody Funderburk,MIN,4348166,1.39,4.11,43.0,5.0,2.0,3.0,0.0,0.0
Nestor Cortes,FA,36480,1.29,4.45,89.0,1.0,5.0,6.0,0.0,9.0
Danny Coulombe,BOS,33638,1.22,3.6,48.0,2.0,2.0,3.0,0.0,0.0
Braydon Fisher,TOR,41318,1.28,3.57,62.0,1.0,4.0,2.0,0.0,0.0
Griffin Canning,SD,41065,1.33,4.28,56.0,2.0,3.0,4.0,0.0,6.0
Angel Zerpa,MIL,4705673,1.29,3.86,52.0,2.0,3.0,4.0,0.0,0.0
P.J. Poulin,WSH,4019760,1.26,3.55,45.0,0.0,2.0,2.0,0.0,0.0
Daniel Lynch IV,KC,41227,1.31,4.02,47.0,0.0,3.0,4.0,0.0,0.0
Alex Cobb,FA,31086,1.35,4.0,47.0,2.0,3.0,3.0,0.0,5.0
Tyler Phillips,MIA,41247,1.44,4.8,53.0,3.0,2.0,6.0,0.0,0.0
Grant Anderson,MIL,42161,1.35,4.29,67.0,0.0,3.0,4.0,0.0,0.0
Ben Casparius,LAD,4326800,1.27,3.84,72.0,1.0,5.0,3.0,0.0,0.0
Tim Herrin,CLE,4228579,1.33,3.94,51.0,3.0,2.0,3.0,0.0,0.0
Brenan Hanifee,DET,40485,1.3,3.69,46.0,1.0,3.0,4.0,0.0,0.0
Yuki Matsui,SD,4142414,1.35,4.29,65.0,6.0,4.0,3.0,0.0,0.0
German Marquez,SD,34874,1.47,5.01,61.0,3.0,4.0,5.0,0.0,7.0
Cade Gibson,MIA,5273591,1.27,3.36,51.0,5.0,4.0,3.0,0.0,0.0
Enyel De Los Santos,HOU,35026,1.3,4.36,63.0,2.0,2.0,5.0,0.0,0.0
Jose Corniell,TEX,4710478,1.08,2.86,57.0,0.0,4.0,3.0,2.0,0.0
Patrick Corbin,FA,31313,1.43,4.73,127.0,5.0,8.0,10.0,0.0,14.0
Yariel Rodriguez,TOR,4411979,1.33,3.96,72.0,1.0,3.0,5.0,0.0,0.0
Brandon Eisert,CWS,4228247,1.33,4.36,69.0,2.0,2.0,5.0,1.0,0.0
Luis Garcia,NYM,33089,1.38,4.18,51.0,6.0,2.0,4.0,2.0,0.0
J.T. Ginn,OAK,4414002,1.45,4.83,67.0,1.0,3.0,5.0,0.0,3.0
Jordan Hicks,CWS,37909,1.47,4.5,60.0,7.0,2.0,5.0,0.0,0.0
Javier Assad,CHC,5002950,1.39,4.05,60.0,3.0,5.0,4.0,0.0,3.0
Brennan Bernardino,COL,35876,1.41,3.88,46.0,4.0,3.0,3.0,0.0,0.0
David Morgan,SD,5270578,1.28,4.25,58.0,2.0,3.0,3.0,0.0,0.0
Kade Strowd,ARI,5125912,1.42,3.98,43.0,2.0,3.0,2.0,0.0,0.0
Justin Wilson,FA,31026,1.25,3.75,54.0,3.0,2.0,3.0,0.0,0.0
Robert Gasser,MIL,4918251,1.28,3.88,63.0,0.0,4.0,3.0,0.0,1.0
Steven Wilson,TB,41828,1.43,4.66,60.0,2.0,2.0,4.0,0.0,0.0
Joe Jimenez,ATL,33760,1.04,3.06,63.0,0.0,4.0,1.0,0.0,0.0
Jake Bird,NYY,3459223,1.35,4.26,63.0,3.0,2.0,4.0,0.0,0.0
Ian Hamilton,ATL,41127,1.36,4.02,53.0,2.0,2.0,3.0,0.0,0.0
Luke Jackson,FA,31749,1.39,4.24,48.0,2.0,2.0,4.0,6.0,0.0
Adbert Alzolay,NYM,39802,1.33,4.6,50.0,1.0,2.0,3.0,0.0,0.0
Mason Englert,TB,41386,1.23,3.94,48.0,2.0,3.0,2.0,0.0,0.0
Alek Manoah,LAA,42436,1.57,5.28,44.0,1.0,2.0,3.0,0.0,4.0
Steven Cruz,KC,5002931,1.29,3.76,49.0,2.0,2.0,4.0,0.0,0.0
Cooper Criswell,SEA,4326801,1.33,3.93,47.0,1.0,3.0,3.0,0.0,1.0
Stephen Kolek,KC,5190073,1.38,4.17,47.0,1.0,4.0,4.0,0.0,2.0
Jackson Rutledge,WSH,42434,1.52,5.26,58.0,2.0,3.0,4.0,0.0,0.0
Jonathan Bowlan,PHI,41344,1.27,3.94,49.0,1.0,3.0,2.0,0.0,0.0
Corbin Burnes,ARI,39878,1.2,3.69,58.0,2.0,4.0,3.0,0.0,6.0
Keider Montero,DET,5182933,1.46,4.86,51.0,1.0,3.0,4.0,0.0,0.0
Trevor McDonald,SF,5185136,1.53,5.07,67.0,4.0,4.0,6.0,0.0,7.0
Jonathan Cannon,CWS,4620398,1.51,5.05,54.0,1.0,3.0,5.0,0.0,2.0
Porter Hodge,CHC,5185133,1.58,5.04,58.0,4.0,2.0,4.0,0.0,0.0
Tommy Nance,TOR,36385,1.14,3.25,39.0,1.0,3.0,1.0,0.0,0.0
Luis Medina,OAK,40949,1.52,4.86,47.0,5.0,2.0,4.0,0.0,4.0
Jose Leclerc,FA,33926,1.31,4.17,68.0,4.0,3.0,3.0,0.0,0.0
Hurston Waldrep,ATL,4740117,1.57,4.5,39.0,1.0,3.0,2.0,0.0,4.0
Justin Lawrence,PIT,41310,1.47,4.5,33.0,3.0,1.0,3.0,0.0,0.0
Erick Fedde,CWS,33793,1.44,4.6,90.0,2.0,6.0,9.0,0.0,11.0
David Festa,MIN,5124114,1.31,4.34,61.0,1.0,3.0,3.0,0.0,6.0
Dietrich Enns,BAL,36049,1.43,4.93,40.0,1.0,2.0,3.0,0.0,0.0
Jonah Tong,NYM,5214984,1.21,3.19,59.0,2.0,4.0,1.0,0.0,7.0
Mason Fluharty,TOR,4622501,1.32,4.11,58.0,1.0,4.0,2.0,0.0,0.0
Chase Silseth,LAA,4413990,1.65,4.92,71.0,4.0,4.0,4.0,0.0,0.0
Tyler Gilbert,CWS,40559,1.38,4.18,53.0,3.0,3.0,3.0,0.0,0.0
Taylor Clarke,ARI,35277,1.3,4.33,45.0,3.0,3.0,3.0,0.0,0.0
Jordan Montgomery,TEX,38173,1.32,4.09,42.0,2.0,3.0,2.0,0.0,4.0
Tobias Myers,NYM,39716,1.31,3.94,39.0,2.0,3.0,2.0,0.0,6.0
Justin Wrobleski,LAD,4417203,1.36,4.36,59.0,1.0,4.0,3.0,0.0,0.0
Martin Perez,ATL,31098,1.38,4.15,19.0,0.0,2.0,1.0,0.0,3.0
Josiah Gray,WSH,41165,1.39,4.17,93.0,4.0,5.0,6.0,0.0,9.0
Chad Green,TOR,33325,1.31,4.31,42.0,0.0,2.0,3.0,0.0,0.0
Ryan Fernandez,STL,5002952,1.42,4.26,43.0,1.0,1.0,3.0,0.0,0.0
Walker Buehler,SD,39251,1.53,5.06,62.0,1.0,4.0,5.0,0.0,7.0
DL Hall,MIL,41018,1.43,4.11,39.0,0.0,3.0,2.0,0.0,0.0
Andrew Alvarez,WSH,4300668,1.43,4.5,11.0,1.0,1.0,1.0,0.0,1.0
Andrew Chafin,FA,32810,1.36,4.0,42.0,5.0,2.0,2.0,0.0,0.0
Yoendrys Gomez,TB,42898,1.45,4.66,29.0,1.0,1.0,2.0,0.0,3.0
Kevin Kelly,TB,5001153,1.16,3.78,44.0,1.0,2.0,4.0,0.0,0.0
Kyle Hart,SD,39936,1.35,4.31,43.0,1.0,3.0,2.0,0.0,0.0
Joel Peguero,SF,4722917,1.44,4.5,30.0,2.0,1.0,3.0,0.0,0.0
Jason Alexander,HOU,41849,1.49,4.87,50.0,1.0,3.0,4.0,0.0,1.0
Jaden Hill,COL,4414362,1.31,3.86,39.0,2.0,2.0,2.0,0.0,0.0
Brusdar Graterol,LAD,40965,1.13,3.0,23.0,1.0,2.0,1.0,0.0,0.0
Tristan Beck,SF,41309,1.26,3.83,47.0,2.0,3.0,3.0,0.0,0.0
Hunter Bigge,TB,4987389,1.23,4.11,38.0,1.0,2.0,2.0,0.0,0.0
Mick Abel,MIN,4718970,1.71,5.4,31.0,1.0,1.0,3.0,0.0,3.0
Rico Garcia,BAL,41382,1.42,4.74,43.0,2.0,1.0,3.0,0.0,0.0
Zack Kelly,BOS,41569,1.44,4.19,42.0,2.0,3.0,2.0,0.0,0.0
Cole Sulser,TB,37825,1.15,3.33,27.0,0.0,2.0,1.0,0.0,0.0
Bailey Falter,KC,4705677,1.37,4.43,42.0,1.0,3.0,4.0,0.0,1.0
Nick Sandlin,LAA,41385,1.31,4.4,54.0,1.0,3.0,2.0,0.0,0.0
Jack Perkins,OAK,4418686,1.35,3.92,69.0,4.0,4.0,3.0,0.0,2.0
Spencer Turnbull,FA,33732,1.58,4.81,39.0,2.0,2.0,3.0,0.0,1.0
Kyle Nicolas,PIT,4415762,1.46,4.15,42.0,3.0,2.0,2.0,0.0,0.0
Brandon Sproat,MIL,4621041,1.42,4.42,44.0,2.0,3.0,3.0,0.0,5.0
Rafael Montero,NYY,32631,1.39,4.3,45.0,0.0,3.0,2.0,0.0,0.0
Matt Gage,SF,40337,1.2,3.34,29.0,2.0,2.0,2.0,0.0,0.0
Christian Scott,NYM,4414215,1.28,4.17,51.0,0.0,3.0,3.0,0.0,5.0
Kaleb Ort,LAA,42639,1.47,4.78,53.0,2.0,2.0,3.0,0.0,0.0
Konnor Pilkington,DET,41329,1.57,4.89,49.0,2.0,2.0,3.0,0.0,0.0
A.J. Puk,ARI,36201,1.1,3.43,28.0,1.0,2.0,0.0,2.0,0.0
Joel Payamps,ATL,40021,1.24,4.14,35.0,1.0,2.0,2.0,0.0,0.0
Ryan Bergert,KC,5196249,1.49,4.85,32.0,1.0,2.0,2.0,0.0,4.0
Juan Morillo,ARI,4722925,1.51,4.38,35.0,2.0,2.0,2.0,0.0,0.0
Patrick Sandoval,BOS,40975,1.57,4.76,49.0,4.0,3.0,3.0,0.0,1.0
Zach Agnos,COL,5207459,1.51,4.76,41.0,2.0,1.0,5.0,3.0,0.0
Mitchell Parker,WSH,4683356,1.36,4.5,41.0,2.0,3.0,3.0,0.0,1.0
Eric Orze,MIN,4299966,1.4,4.4,46.0,0.0,2.0,3.0,0.0,0.0
James McArthur,KC,3960883,1.19,3.98,41.0,1.0,3.0,2.0,0.0,0.0
Wikelman Gonzalez,CWS,4917659,1.64,4.75,33.0,1.0,2.0,2.0,0.0,0.0
Cade Povich,BAL,5085743,1.33,4.35,58.0,2.0,3.0,4.0,0.0,6.0
Yohan Ramirez,PIT,41893,1.39,4.03,43.0,6.0,2.0,2.0,0.0,0.0
Brent Headrick,NYY,5116839,1.19,4.0,30.0,1.0,2.0,1.0,0.0,0.0
Jordan Wicks,CHC,4420749,1.4,4.58,51.0,1.0,3.0,3.0,2.0,0.0
Ryan Brasier,TEX,30189,1.16,3.66,29.0,1.0,2.0,2.0,0.0,0.0
Wade Miley,FA,31094,1.45,4.34,33.0,1.0,3.0,3.0,0.0,6.0
Colin Selby,BAL,5116841,1.34,4.22,36.0,1.0,2.0,2.0,0.0,0.0
Chris Murphy,CWS,4084958,1.41,4.14,34.0,2.0,2.0,2.0,0.0,0.0
Evan Phillips,LAD,37911,1.1,3.1,33.0,1.0,2.0,1.0,0.0,0.0
Alexis Diaz,TEX,4905920,1.52,4.91,38.0,1.0,2.0,2.0,0.0,0.0
Tanner Gordon,COL,4415658,1.47,4.74,14.0,0.0,1.0,1.0,0.0,2.0
Connor Phillips,CIN,4918160,1.7,5.67,43.0,2.0,2.0,3.0,0.0,0.0
Casey Legumina,SEA,4346117,1.35,4.3,45.0,1.0,3.0,2.0,0.0,0.0
Gordon Graceffo,STL,5123582,1.6,5.04,38.0,1.0,2.0,4.0,0.0,0.0
Brock Stewart,LAD,35997,1.41,4.78,35.0,1.0,1.0,3.0,0.0,0.0
Austin Gomber,TEX,34897,1.33,4.6,33.0,1.0,2.0,3.0,0.0,4.0
Michael Kopech,FA,33763,1.7,5.67,31.0,3.0,1.0,2.0,0.0,0.0
Alex Lange,KC,40976,1.41,4.03,33.0,3.0,2.0,1.0,0.0,0.0
Drew Thorpe,CWS,4629086,1.27,3.9,26.0,0.0,2.0,1.0,0.0,3.0
Sam Hentges,SF,41225,1.41,4.03,27.0,1.0,2.0,1.0,0.0,0.0
Evan Sisk,PIT,3994084,1.34,3.72,33.0,1.0,2.0,1.0,0.0,0.0
Dauri Moreta,FA,41874,1.26,3.77,44.0,2.0,2.0,1.0,0.0,0.0
